Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_EMA(C,25)","Exit_EMA(C,25)","Entry_EMA(C,75)","Exit_EMA(C,75)","Entry_EMA(C,350)","Exit_EMA(C,350)"
-9,18,209,10960.0,8225.04,,,24269.30927999999,345.33072000000004,0.2460392262773722,2018-01-19 00:00:00+00:00,2018-07-29 00:00:00+00:00,191 days,,13328.317666167466,7393.56677643836,13523.672738884574,7341.643840454593,13433.750045948984,9809.941007030657
15,209,210,8225.04,8210.99,,,-703.8309000000163,493.0809,-0.005704781982823305,2018-07-29 00:00:00+00:00,2018-07-30 00:00:00+00:00,1 days,,7393.56677643836,7453.593947481563,7341.643840454593,7363.545844653157,9809.941007030657,9800.61895001054
-18,219,444,6720.63,4043.04,,,47809.12788,387.49212,0.39521036867079423,2018-08-08 00:00:00+00:00,2019-03-21 00:00:00+00:00,225 days,,7246.3661479102575,3900.154503027874,7309.350514689228,3895.0437481012495,9666.892864730184,5991.399336187831
42,444,445,4043.04,3980.85,,,-3285.9867600000025,674.00676,-0.01935122581028144,2019-03-21 00:00:00+00:00,2019-03-22 00:00:00+00:00,1 days,,3900.154503027874,3906.8295412564994,3895.0437481012495,3897.461807361743,5991.399336187831,5979.977858488755
-19,632,633,8497.55,8430.05,,,639.2512000000002,643.2487999999998,0.003959352989979507,2019-09-25 00:00:00+00:00,2019-09-26 00:00:00+00:00,1 days,,9935.257328802938,9791.29368812579,10046.021344335502,9993.855782642464,8080.973493800175,8080.8752402742475
19,746,798,8720.15,8034.76,,,-13659.096579999989,636.68658,-0.0824412217679741,2020-01-17 00:00:00+00:00,2020-03-09 00:00:00+00:00,52 days,,7967.376716424004,8985.252061132822,7905.116727011644,8886.174863117192,8008.921659635936,8328.557334518282
-19,801,850,7934.58,8778.58,,,-16671.10008,635.1000799999999,-0.11058257904010042,2020-03-12 00:00:00+00:00,2020-04-30 00:00:00+00:00,49 days,,8517.213164149985,7419.821106450242,8729.519665794489,7466.694264277689,8303.774342901668,7936.660524939088
15,852,1234,8825.67,42849.78,,,508811.3865,1550.2634999999998,3.843420284239044,2020-05-02 00:00:00+00:00,2021-05-19 00:00:00+00:00,382 days,,7639.138516738668,50966.40654393779,7541.16334334914,52100.799780549954,7947.604205956979,33254.66368984446
-15,1234,1235,42849.78,36671.23,,,90292.61969999994,2385.6303,0.14047932054726991,2021-05-19 00:00:00+00:00,2021-05-20 00:00:00+00:00,1 days,,50966.40654393779,50163.3475790195,52100.799780549954,51796.21662843022,33254.66368984446,33296.09945229549
16,1316,1438,43794.36,50471.19,,,103812.78240000003,3016.4976,0.14815375541508088,2021-08-09 00:00:00+00:00,2021-12-09 00:00:00+00:00,122 days,,39152.391806031344,54889.90273396265,38530.8751832673,55500.72977384472,34371.11672760047,44305.346173757134
-16,1438,1439,50471.19,47535.9,,,43828.41312000001,3136.22688,0.054274048620609104,2021-12-09 00:00:00+00:00,2021-12-10 00:00:00+00:00,1 days,,54889.90273396265,54293.79790827322,55500.72977384472,55280.72477979618,44305.346173757134,44321.50112433402
18,1549,1557,47434.79,43170.47,,,-80019.54935999999,3261.7893599999998,-0.09371877729404939,2022-03-30 00:00:00+00:00,2022-04-07 00:00:00+00:00,8 days,,43032.29173721846,44045.34771162635,42589.28062876782,43107.31408921215,43373.44314592482,43460.7410002509
-20,1565,1841,39942.37,20872.99,,,378954.9856,2432.6144,0.47437719093784364,2022-04-15 00:00:00+00:00,2023-01-16 00:00:00+00:00,276 days,,42565.523144418745,18137.488262753606,42703.37195276064,17885.947710713768,43352.63242234461,25200.541132147682
56,1841,1842,20872.99,21185.65,,,12798.392319999992,4710.56768,0.010949208522593127,2023-01-16 00:00:00+00:00,2023-01-17 00:00:00+00:00,1 days,,18137.488262753606,18368.05147331102,17885.947710713768,17971.44408674762,25200.541132147682,25177.374572990146
-46,1987,1988,25841.22,25925.54,,,-8641.261919999986,4762.541920000001,-0.007269529844179252,2023-06-11 00:00:00+00:00,2023-06-12 00:00:00+00:00,1 days,,26848.177204149517,26775.639726907248,26910.385134381522,26883.932630845167,25821.61368554183,25822.08990385783
39,1998,2055,29993.89,26623.41,,,-135864.86939999997,4416.1494,-0.11614747536915013,2023-06-22 00:00:00+00:00,2023-08-18 00:00:00+00:00,57 days,,27139.783609116825,28931.72586118241,26958.713671885544,28915.940072478068,25893.824314773028,26953.21416184982
-40,2057,2067,26100.01,27716.34,,,-68958.50800000007,4305.308,-0.06605218542061869,2023-08-20 00:00:00+00:00,2023-08-30 00:00:00+00:00,10 days,,28519.754520770814,27406.26770627609,28772.051211372906,28225.910204743283,26944.03144525994,26914.75746740091
